Entity,Code,Year,All malignant cancers combined,Brain and nervous system cancers,Leukemia,Lymphomas and multiple myeloma,Cluster,PCA1,PCA2
Austria,AUT,1988,2.917369,1.1206365,0.89650923,0.3725366,0,-0.28321952076933005,0.12985800525181962
Austria,AUT,1989,2.9703898,1.3541112,1.2310101,0.0,0,-0.10920448492372985,-0.022663099500381517
Austria,AUT,1990,2.7495503,0.66002244,1.1000375,0.36214235,0,-0.40613262513393755,0.03154643229651585
Austria,AUT,1991,2.0241458,0.98025763,1.0899487,0.36012545,0,-0.4898685576968851,0.22714576811245477
Austria,AUT,1992,2.6162145,1.0770837,1.4389524,0.2159398,0,-0.19364694669101398,0.033176268169121954
Austria,AUT,1993,2.9762285,1.1755502,0.9511626,0.26496595,0,-0.24123362923067676,0.08193984292167504
Austria,AUT,1994,3.1439226,1.386161,1.183698,0.0,0,-0.07127130884105164,-0.03999696536602704
Austria,AUT,1995,2.5049891,0.42440498,0.8267254,0.21480201,0,-0.6622228680094998,0.01492944570353285
Austria,AUT,1996,2.311138,0.96270686,0.7090246,0.3209023,0,-0.5650157170730827,0.21620624461088425
Austria,AUT,1997,2.5492158,0.5929953,1.0755811,1.1553614,0,-0.40555228414956174,0.35307042760869156
Austria,AUT,1998,1.7097487,0.76041746,1.0745769,1.2047032,0,-0.5606082365455288,0.5559286440679542
Austria,AUT,1999,1.9208933,0.66018003,1.2066947,0.2852408,0,-0.5879432707863598,0.1350369622039911
Austria,AUT,2000,3.3987594,0.9027764,0.85776746,0.0,0,-0.28519153604951336,-0.13326857128769726
Austria,AUT,2001,1.472082,1.2490664,0.7982111,0.213116,0,-0.6640689424047671,0.37064522850171394
Austria,AUT,2002,2.075998,1.0449661,0.381988,0.0,0,-0.7509200497198538,0.20583952494155688
Austria,AUT,2003,3.2919238,0.5896101,0.6640018,0.0,0,-0.48723613899083806,-0.14763439095512784
Austria,AUT,2004,2.047544,0.9548169,0.5260673,1.2903559,0,-0.6003379481307144,0.6510714361591912
Austria,AUT,2005,2.0538182,1.06326,0.265815,0.58643,0,-0.7314012011736093,0.449802839516237
Austria,AUT,2006,1.6602746,0.67149425,0.5371954,0.0,0,-0.9250497725271463,0.1809003623717898
Austria,AUT,2007,2.318088,0.7390528,0.724755,0.24158499,0,-0.6400784867430593,0.13775543726226502
Austria,AUT,2008,1.511161,0.82271796,0.24407686,0.0,0,-1.0199632549842208,0.2833535668918578
Austria,AUT,2009,2.4386783,0.6893785,0.6237805,0.0,0,-0.6877630444765839,0.03167047154971919
Austria,AUT,2010,1.3608404,0.7394098,0.49293986,0.24646993,0,-0.9696412995591244,0.34691245497677836
Austria,AUT,2011,2.0905778,1.526866,1.0168078,0.277612,0,-0.32663149068703634,0.30634669966890554
Austria,AUT,2012,2.614149,0.55385476,0.315041,0.0,0,-0.8002786994724177,0.02034628999332486
Austria,AUT,2013,2.3996642,0.5529658,0.9676902,0.0,0,-0.6177001701752656,-0.04188912629740131
Austria,AUT,2014,2.409122,0.96298826,0.68784875,0.2475462,0,-0.555184991355442,0.17464276001745496
Austria,AUT,2015,3.360594,0.68125737,0.24633817,0.0,0,-0.5914389020014672,-0.07708883314331644
Austria,AUT,2016,2.847394,0.8012125,0.26707083,0.0,0,-0.6757665813629432,0.035966588012243284
Austria,AUT,2017,3.3124647,0.5275465,0.5275465,0.0,0,-0.5523171508977621,-0.14285891708145043
Austria,AUT,2018,1.6568009,1.4339459,0.5742918,0.0,0,-0.6592450187844427,0.3300489002743926
Austria,AUT,2019,2.6038709,1.1624497,0.25832218,0.0,0,-0.6215089233561173,0.15403647251477304
Austria,AUT,2020,2.6061163,0.6965834,0.51383567,0.0,0,-0.6824766577353304,0.020047550758600017
Austria,AUT,2021,0.70778924,0.38434044,0.23212089,0.0,0,-1.376077431776838,0.34050415192901057
Austria,AUT,2022,3.0669346,1.6065769,0.43793,0.0,0,-0.2897109988161581,0.13322727580373306
Austria,AUT,2023,2.356201,0.74312794,0.4954186,0.0,0,-0.7378782400494163,0.07709195886567008
